full_name,chamber,party,state,screen_name,alt_name1,alt_name2
Elise Stefanik,House,R,N.Y.,RepStefanik,EliseStefanik,
Neal Dunn,House,R,Fla.,DrNealDunnFL2,,
Francis Rooney,House,R,Fla.,RepRooney,FrancisRooney,
Don Bacon,House,R,Neb.,RepDonBacon,DonJBacon,
Will Hurd,House,R,Texas,HurdOnTheHill,,
Jodey Arrington,House,R,Texas,RepArrington,,
Carlos Curbelo,House,R,Fla.,RepCurbelo,carloslcurbelo,
Paul Mitchell,House,R,Mich.,RepPaulMitchell,,
Garret Graves,House,R,La.,RepGarretGraves,garretgraves,
Thomas Garrett,House,R,Va.,RepTomGarrett,,
Mario Diaz-Balart,House,R,Fla.,MarioDB,,
Edward Royce,House,R,Calif.,RepEdRoyce,,
A. Drew Ferguson,House,R,Ga.,RepDrewFerguson,,
Matt Gaetz,House,R,Fla.,RepMattGaetz,mattgaetz,
Ted Budd,House,R,N.C.,RepTedBudd,,
Christopher H. Smith,House,R,N.J.,RepChrisSmith,,
Harold Rogers,House,R,Ky.,RepHalRogers,,
Darrell Issa,House,R,Calif.,DarrellIssa,TeamIssa,
Roger Marshall,House,R,Kan.,RogerMarshallMD,RepMarshall,
John Kennedy,Senate,R, La.,SenJohnKennedy,JohnKennedyLA,
Jaime Herrera Beutler,House,R,Wash.,HerreraBeutler,,
Mimi Walters,House,R,Calif.,RepMimiWalters,MimiWaltersCA,
Ralph Norman,House,R,S.C.,RepRalphNorman,RalphNorman,
Darin M. LaHood,House,R,Ill.,RepLaHood,,
Martha McSally,House,R,Ariz.,RepMcSally,,
Dean Heller,Senate,R, Nev.,SenDeanHeller,DeanHeller,
Pat Meehan,House,R,Pa.,RepMeehan,,
Jeffrey Denham,House,R,Calif.,RepJeffDenham,,
Lamar Alexander,Senate,R, Tenn.,SenAlexander,,
Bob Corker,Senate,R, Tenn.,SenBobCorker,BobCorker,
Steve Knight,House,R,Calif.,SteveKnight25,,
Andy Biggs,House,R,Ariz.,RepAndyBiggsAZ,andybiggs4az,
Greg Walden,House,R,Ore.,repgregwalden,,
Lee Zeldin,House,R,N.Y.,RepLeeZeldin,leezeldin,
Richard C. Shelby,Senate,R, Ala.,SenShelby,,
Evan Jenkins,House,R,W.Va.,RepEvanJenkins,,
Jim Banks,House,R,Ind.,RepJimBanks,Jim_Banks,
Virginia Foxx,House,R,N.C.,virginiafoxx,foxxforcongress,
Vern Buchanan,House,R,Fla.,VernBuchanan,,
Barbara Comstock,House,R,Va.,RepComstock,BarbaraComstock,
Tom Reed,House,R,N.Y.,RepTomReed,TomReedCongress,
Rob Woodall,House,R,Ga.,RepRobWoodall,,
Dana Rohrabacher,House,R,Calif.,DanaRohrabacher,RepRohrabacher,
Kay Granger,House,R,Texas,RepKayGranger,,
Leonard Lance,House,R,N.J.,RepLanceNJ7,,
Dave Trott,House,R,Mich.,repdavetrott,,
Mia Love,House,R,Utah,RepMiaLove,,
Lindsey Graham,Senate,R, S.C.,GrahamBlog,LindseyGrahamSC,
Richard M. Burr,Senate,R, N.C.,SenatorBurr,,
Mark Sanford,House,R,S.C.,RepSanfordSC,MarkSanford,
Steve Russell,House,R,Okla.,RepRussell,,
Gary Palmer,House,R,Ala.,USRepGaryPalmer,,
Mike Simpson,House,R,Idaho,CongMikeSimpson,,
Mike Bost,House,R,Ill.,RepBost,,
Bruce Poliquin,House,R,Maine,RepPoliquin,,
Cathy McMorris Rodgers,House,R,Wash.,cathymcmorris,,
Dan Sullivan,Senate,R, Alaska,SenDanSullivan,DanSullivan2014,
William M. Thornberry,House,R,Texas,MacTXPress,,
Ken Buck,House,R,Colo.,RepKenBuck,,
Shelley Moore Capito,Senate,R, W.Va.,SenCapito,CapitoforWV,
Devin Nunes,House,R,Calif.,DevinNunes,,
Thad Cochran,Senate,R, Miss.,SenThadCochran,,
Adam Kinzinger,House,R,Ill.,RepKinzinger,AdamKinzinger,
Don Young,House,R,Alaska,repdonyoung,,
Erik Paulsen,House,R,Minn.,RepErikPaulsen,,
Cory Gardner,Senate,R, Colo.,SenCoryGardner,CoryGardner,
Michael R. Turner,House,R,Ohio,RepMikeTurner,,
Bill Shuster,House,R,Pa.,RepBillShuster,,
Patrick J. Toomey,Senate,R, Pa.,SenToomey,,
Trent Kelly,House,R,Miss.,RepTrentKelly,,
John Moolenaar,House,R,Mich.,RepMoolenaar,,
