"name","propublica_url","twitter_url"
"Marcia L. Fudge","https://projects.propublica.org/represent/members/F000455-marcia-l-fudge","http://twitter.com/RepMarciaFudge"
"Tulsi Gabbard","https://projects.propublica.org/represent/members/G000571-tulsi-gabbard","http://twitter.com/TulsiPress"
"Matt Gaetz","https://projects.propublica.org/represent/members/G000578-matt-gaetz","http://twitter.com/RepMattGaetz"
"Mike Gallagher","https://projects.propublica.org/represent/members/G000579-mike-gallagher","http://twitter.com/RepGallagher"
"Ruben Gallego","https://projects.propublica.org/represent/members/G000574-ruben-gallego","http://twitter.com/RepRubenGallego"
"John Garamendi","https://projects.propublica.org/represent/members/G000559-john-garamendi","http://twitter.com/RepGaramendi"
"Thomas Garrett","https://projects.propublica.org/represent/members/G000580-thomas-garrett","http://twitter.com/RepTomGarrett"
"Greg Gianforte","https://projects.propublica.org/represent/members/G000584-greg-gianforte",""
"Bob Gibbs","https://projects.propublica.org/represent/members/G000563-bob-gibbs","http://twitter.com/RepBobGibbs"
"Louie Gohmert","https://projects.propublica.org/represent/members/G000552-louie-gohmert","http://twitter.com/RepLouieGohmert"
"Jimmy Gomez","https://projects.propublica.org/represent/members/G000585-jimmy-gomez","http://twitter.com/RepJimmyGomez"
"Vicente Gonzalez","https://projects.propublica.org/represent/members/G000581-vicente-gonzalez","http://twitter.com/RepGonzalez"
"Jenniffer González-Colón","https://projects.propublica.org/represent/members/G000582-jenniffer-gonz%C3%A1lez-col%C3%B3n","http://twitter.com/repjenniffer"
"Robert W. Goodlatte","https://projects.propublica.org/represent/members/G000289-robert-w-goodlatte","http://twitter.com/RepGoodlatte"
"Paul Gosar","https://projects.propublica.org/represent/members/G000565-paul-gosar","http://twitter.com/RepGosar"
"Josh Gottheimer","https://projects.propublica.org/represent/members/G000583-josh-gottheimer","http://twitter.com/RepJoshG"
"Trey Gowdy","https://projects.propublica.org/represent/members/G000566-trey-gowdy","http://twitter.com/TGowdySC"
"Kay Granger","https://projects.propublica.org/represent/members/G000377-kay-granger","http://twitter.com/RepKayGranger"
"Tom Graves","https://projects.propublica.org/represent/members/G000560-tom-graves","http://twitter.com/RepTomGraves"
"Sam Graves","https://projects.propublica.org/represent/members/G000546-sam-graves","http://twitter.com/RepSamGraves"
"Garret Graves","https://projects.propublica.org/represent/members/G000577-garret-graves","http://twitter.com/RepGarretGraves"
"Al Green","https://projects.propublica.org/represent/members/G000553-al-green","http://twitter.com/RepAlGreen"
"Gene Green","https://projects.propublica.org/represent/members/G000410-gene-green","http://twitter.com/RepGeneGreen"
"Morgan Griffith","https://projects.propublica.org/represent/members/G000568-morgan-griffith","http://twitter.com/RepMGriffith"
"Raúl M. Grijalva","https://projects.propublica.org/represent/members/G000551-ra%C3%BAl-m-grijalva","http://twitter.com/RepraulGrijalva"
